R_f_c,c_tilde_c,R_f_a,c_tilde_a,c_lyte,J1,c_c_1,c_c_2,c_c_3,c_c_4,c_c_5,dV_1,dV_2,dV_3,dV_4,dV_5,error_1,error_2,error_3,error_4,error_5
5.488,0.943,6.028,0.909,0.885,7.897742412882975,0.8,0.651,0.569,0.4,0.4,-0.19999875748383383,0.1999990572250856,-0.19999996525104793,-0.12270796228290443,0.19999965514921894,0.0022384542220765928,2.5813288708845678e-05,0.004746710177328174,0.00012445930737761646,0.0003896853273926894
4.17,0.944,0.001,0.86,0.829,-4.775498617166088,0.8,0.589,0.589,0.589,0.4,-0.19999934661438398,0.19999040302177049,-0.19999983165680565,0.05000022400745839,0.1999989063290472,0.0013746177968677973,1.8288292041693622e-05,0.00040217343159974425,3.190420821835294e-05,4.642301455818737e-05
4.36,0.805,5.497,0.887,0.884,6.647436441098598,0.8,0.8,0.627,0.437,0.4,0.05000017852649332,-0.19999952104643187,0.19999776395495003,-0.19999845031888405,0.19999941642746472,0.001582663661261522,2.287435843520935e-05,0.0027872157275647554,0.00011680234243772799,0.0002024152973284541
5.508,0.942,2.909,0.902,0.979,4.341788863071015,0.8,0.605,0.602,0.4,0.4,-0.19999727358387853,-0.1999999142594962,0.19999862392416204,0.19999970586406693,-0.13752360121936183,0.0027478733628783303,2.362272302834201e-05,0.0015228830146533018,7.575682110061705e-05,0.000263687327728225
9.67,0.909,9.727,0.943,0.94,13.512274670663992,0.8,0.675,0.575,0.401,0.4,-0.1999991470177059,0.1999996120336961,-0.19999958699787482,-0.12985225705298237,0.1999991841394496,0.005995709796721787,3.830198426551159e-05,0.007112707699867054,0.00018431935046601795,0.000581794434987198
2.22,0.974,2.067,0.984,0.898,-3.168467353140417,0.8,0.607,0.569,0.4,0.4,-0.19999966994031412,0.1999993130026665,-0.19999921676206178,-0.12047755563003137,0.19999925858674222,0.0006176380296988059,1.1829126153232256e-05,0.0010060411770192424,6.383349648918602e-05,0.0001048162131850962
8.929,0.866,8.212,0.808,0.822,12.457043076279682,0.8,0.8,0.626,0.4,0.4,0.19999830928540552,-0.19999990416559327,0.1999980201444017,0.19999951964538787,-0.19999963535793927,0.004605833362200009,3.757445193562759e-05,0.004728459987100321,0.00013461027007378345,0.000538734961259533
0.763,0.956,4.384,0.945,0.996,-3.235335464458818,0.8,0.642,0.527,0.444,0.4,-0.19999502376640016,0.199996905549689,-0.19999903008121359,0.06643691517514091,0.19999967774499883,0.00023894455421776193,9.614835002746939e-06,0.002193257736265041,8.04878837890035e-05,6.60376269822353e-05
8.734,0.994,8.692,0.906,0.847,11.792548039147718,0.8,0.68,0.593,0.4,0.4,-0.19999953859243086,0.1999984028648374,-0.1999998432998802,-0.13344005574606105,0.19999998555199366,0.003975998789691227,4.0535150205800865e-05,0.009068579770800278,0.0001753538824095727,0.0005168574637027722
0.104,0.9,4.958,0.827,0.828,-1.348714821714153,0.8,0.8,0.607,0.483,0.4,0.19999959821797025,-0.19999934189847957,0.19999899075184693,-0.19999834824764265,0.1999989286055691,0.0001966998684756915,9.954055937857251e-06,0.002649450005646335,8.898132945569709e-05,9.835864009559478e-05
